time, autocorrelation 
6280, -0.011006
6281, -0.011306
6282, -0.011606
6283, -0.011957
6284, -0.012238
6285, -0.012508
6286, -0.012631
6287, -0.012624
6288, -0.012548
6289, -0.012562
6290, -0.012565
6291, -0.012461
6292, -0.012287
6293, -0.012100
6294, -0.011833
6295, -0.011433
6296, -0.011005
6297, -0.010626
6298, -0.010206
6299, -0.009849
6300, -0.009515
6301, -0.009044
6302, -0.008584
6303, -0.008093
6304, -0.007620
6305, -0.007051
6306, -0.006458
6307, -0.005820
6308, -0.005235
6309, -0.004593
6310, -0.003981
6311, -0.003432
6312, -0.002966
6313, -0.002453
6314, -0.001968
6315, -0.001482
6316, -0.000985
6317, -0.000575
6318, -0.000215
6319, 0.000127
6320, 0.000295
6321, 0.000491
6322, 0.000749
6323, 0.000940
6324, 0.001015
6325, 0.001122
6326, 0.001171
6327, 0.001153
6328, 0.001121
6329, 0.000961
6330, 0.000891
6331, 0.000742
6332, 0.000681
6333, 0.000704
6334, 0.000756
6335, 0.000771
6336, 0.000728
6337, 0.000617
6338, 0.000487
6339, 0.000561
6340, 0.000578
6341, 0.000653
6342, 0.000678
6343, 0.000661
6344, 0.000690
6345, 0.000638
6346, 0.000590
6347, 0.000592
6348, 0.000626
6349, 0.000725
6350, 0.000748
6351, 0.000745
6352, 0.000661
6353, 0.000608
6354, 0.000505
6355, 0.000460
6356, 0.000493
6357, 0.000539
6358, 0.000478
6359, 0.000433
6360, 0.000303
6361, 0.000155
6362, -0.000009
6363, -0.000165
